STRLocus	Chrom	Start	End	MotifLen	NotCountedBase	AsHaplotype
D1GATA113	chr1	7382831	7382874	4	0	No
D1S1627	chr1	106421092	106421143	4	0	No
D1S1677	chr1	163590026	163590085	4	0	No
D1S1656	chr1	230769616	230769683	4	0	No
D10S1435	chr10	2201138	2201181	4	0	No
D10S2325	chr10	12751052	12751126	5	0	No
D10S1248	chr10	129294244	129294295	4	0	No
TH01	chr11	2171088	2171115	4	0	No
D11S2368	chr11	19259601	19259684	4	0	No
D11S4463	chr11	131002511	131002558	4	0	No
vWA	chr12	5983977	5984044	4	0	No
D12S391	chr12	12297020	12297095	4	0	No
D12ATA63	chr12	107928590	107928628	3	0	No
D13S325	chr13	42599304	42599379	4	0	No
D13S317	chr13	82148025	82148068	4	0	No
D14S608	chr14	28380263	28380318	4	20	No
D14S1434	chr14	94842054	94842105	4	0	No
D15S659	chr15	46081911	46081966	4	0	No
Penta_E	chr15	96831015	96831039	5	0	No
D16S539	chr16	86352702	86352745	4	0	No
D17S974	chr17	10615428	10615471	4	0	No
D18S853	chr18	3990629	3990664	3	0	No
D18S51	chr18	63281667	63281738	4	0	No
D18S51-2	chr18	63281667	63281738	4	0	No
D19S253	chr19	15617484	15617531	4	0	No
D19S433	chr19	29926235	29926298	4	8	No
TPOX	chr2	1489653	1489684	4	0	No
D2S1360	chr2	17310718	17310801	4	0	No
D2S441	chr2	68011947	68011994	4	0	No
D2S1776	chr2	168788893	168788936	4	0	No
D2S1338	chr2	218014859	218014950	4	0	No
D20S482	chr20	4525692	4525747	4	0	No
D20S470	chr20	17391907	17391946	4	0	No
D20S1082	chr20	55249399	55249440	3	0	No
D21S11	chr21	19181973	19182099	4	11	No
D21S2055	chr21	39819508	39819647	4	0	No
Penta_D	chr21	43636205	43636269	5	0	No
D22S1045	chr22	37140287	37140337	3	0	No
D3S1358	chr3	45540739	45540802	4	0	No
D3S4529	chr3	85803484	85803531	4	0	No
D3S3045	chr3	107271169	107271220	4	0	No
D3S1744	chr3	147374752	147374823	4	0	No
D3S3053	chr3	172033175	172033210	4	0	No
D4S2366	chr4	6483114	6483161	4	0	No
D4S2408	chr4	31302798	31302833	4	0	No
D4S2364	chr4	92596222	92596257	4	0	No
FGA	chr4	154587736	154587823	4	0	No
D5S2500	chr5	59401444	59401487	4	0	No
D5S2800	chr5	59403132	59403199	4	0	No
D5S818	chr5	123775556	123775599	4	0	No
CSF1PO	chr5	150076324	150076375	4	0	No
D6S477	chr6	6140402	6140457	4	0	No
D6S1017	chr6	41709531	41709570	4	0	No
SE33	chr6	88277144	88277245	4	0	No
D6S1043	chr6	91740225	91740272	4	0	No
D6S474	chr6	112557951	112558018	4	0	No
D7S820	chr7	84160226	84160277	4	0	No
D7S1517	chr7	123857645	123857732	4	0	No
D8S1115	chr8	42681448	42681471	3	0	No
D8S1132	chr8	106316692	106316771	4	0	No
D8S1179	chr8	124894865	124894916	4	0	No
D9S1122	chr9	77073826	77073873	4	0	No
D9S2157	chr9	133160282	133160311	3	0	No
AMELX	chrX	11296919	11296918	6	0	No
DYS393	chrY	3263111	3263158	4	0	Yes
DYS456	chrY	4402919	4402978	4	0	Yes
AMELY	chrY	6869908	6869913	6	0	No
DYS570	chrY	6993190	6993257	4	0	Yes
DYS576	chrY	7185318	7185385	4	0	Yes
DYS522	chrY	7547585	7547624	4	0	Yes
DYS458	chrY	7999839	7999902	4	0	Yes
DYS449	chrY	8349974	8350089	4	0	Yes
DYS596	chrY	8519499	8519594	6	0	Yes
DYS481	chrY	8558337	8558402	3	0	Yes
DYS531	chrY	8598154	8598197	4	0	Yes
DYS627	chrY	8781972	8782055	4	0	Yes
DYS19	chrY	9684380	9684443	4	4	Yes
DYS391	chrY	11982089	11982132	4	0	Yes
DYS635	chrY	12258860	12258951	4	0	Yes
DYS437	chrY	12346340	12346399	4	0	Yes
DYS439	chrY	12403517	12403564	4	0	Yes
DYS388	chrY	12635604	12635639	3	0	Yes
DYS438	chrY	12825889	12825948	5	0	Yes
DYS447	chrY	13166826	13166950	5	0	Yes
Yindel	chrY	13396826	13396826	1	0	Yes
DYS390	chrY	15163067	15163162	4	0	Yes
DYS510	chrY	15188021	15188088	4	0	Yes
DYS518	chrY	15207988	15208139	4	0	Yes
DYS643	chrY	15314132	15314186	5	0	Yes
DYS533	chrY	16281349	16281396	4	0	Yes
DYS593	chrY	16473882	16473956	5	0	Yes
DYS444	chrY	17114360	17114415	4	0	Yes
DYS385a/b	chrY	18680632	18680687	4	0	Yes
DYS460	chrY	18888956	18888995	4	0	Yes
DYS549	chrY	19358338	19358389	4	0	Yes
DYS392	chrY	20471987	20472025	3	0	Yes
DYS557	chrY	21072826	21072889	4	0	Yes
DYS645	chrY	21166022	21166061	5	0	Yes
DYS448	chrY	22218923	22219036	6	0	Yes
DYS527a/b	chrY	23739648	23739735	4	0	Yes
DYF404S1a/b	chrY	23807934	23807997	4	0	Yes
DYS459a/b	chrY	25737373	25737408	4	0	Yes
DYF387S1a/b	chrY	25884581	25884724	4	0	Yes
